nabeul	1008279892518211_1421062424573287
tunis	1008279892518211_1422157201130476
tunis	1008279892518211_1422377591108437
tunis	1008279892518211_1421140931232103
tunis	1008279892518211_1421736717839191
tunis	1008279892518211_1420632037949659
tunis	1008279892518211_1419805644698965
monastir	1008279892518211_1419025521443644
sousse	1008279892518211_1419003044779225
sousse	1008279892518211_1419482118064651
tunis	1008279892518211_1419067818106081
monastir	1008279892518211_1419541428058720
zaghouan	1008279892518211_1419477581398438
sousse	1008279892518211_1417455238267339
tunis	1008279892518211_1417432691602927
tunis	1008279892518211_1417316898281173
tunis	1008279892518211_1416567961689400
tunis	1008279892518211_1417364518276411
tunis	1008279892518211_1417365191609677
tunis	1008279892518211_1416120665067463
beja	1008279892518211_1415513781794818
tunis	1008279892518211_1415130581833138
kef	1008279892518211_1416138401732356
tunis	1008279892518211_1414232871922909
nabeul	1008279892518211_1414092171936979
beja	1008279892518211_1414115685267961
place	post_id
tunis	1008279892518211_1411159945563535
sfax	1008279892518211_1413077332038463
sousse	1008279892518211_1413450358667827
zaghouan	1008279892518211_1413410322005164
tunis	1008279892518211_1412670762079120
beja	1008279892518211_1410383208974542
tunis	1008279892518211_1413030235376506
sousse	1008279892518211_1411054822240714
beja	1008279892518211_1411175725561957
sousse	1008279892518211_1409096892436507
sousse	1008279892518211_1408329535846576
benArous	1008279892518211_1408045052541691
tunis	1008279892518211_1401231293223067
kasserine	1008279892518211_1401942309818632
manouba	1008279892518211_1401937766485753
tunis	1008279892518211_1401413429871520
gafsa	1008279892518211_1401040499908813
tunis	1008279892518211_1401079156571614
tunis	1008279892518211_1399896353356561
tunis	1008279892518211_1399254703420726
